condition1,condition2,condition3,ppmi,count
ASTHMA,ASTHMA,ASTHMA,2.143437766591768,26531.0
ASTHMA,ASTHMA,COPD,1.1491852697443101,74.0
ASTHMA,ASTHMA,DIABETES_TYPE2,0.0,235.0
ASTHMA,ASTHMA,DIABETES_TYPE1,0.0,114.0
ASTHMA,ASTHMA,HYPERTENSION,0.0,241.0
ASTHMA,ASTHMA,CORONARY_HEART_DISEASE,0.0,3.0
ASTHMA,ASTHMA,MYOCARDIAL_INFARCTION,0.0,2.0
ASTHMA,ASTHMA,TIA,0.0,2.0
ASTHMA,ASTHMA,STROKE,0.0,3.0
ASTHMA,ASTHMA,CKD_STAGE1,0.0,8.0
ASTHMA,ASTHMA,CKD_STAGE3,0.0,33.0
ASTHMA,ASTHMA,DEPRESSION,0.0,3568.0
ASTHMA,ASTHMA,SEVERE_MENTAL_ILLNESS,0.0,312.0
ASTHMA,ASTHMA,CANCER,0.0,61.0
ASTHMA,ASTHMA,DEMENTIA,0.0,0.0
ASTHMA,ASTHMA,ATRIAL_FIBRILLATION,0.0,9.0
ASTHMA,ASTHMA,PALLIATIVE_CARE,0.0,5.0
ASTHMA,ASTHMA,HEART_FAILURE,0.0,18.0
ASTHMA,COPD,ASTHMA,1.1491852697443101,74.0
ASTHMA,COPD,COPD,6.036893544104508,74.0
ASTHMA,COPD,DIABETES_TYPE2,0.0,0.0
ASTHMA,COPD,DIABETES_TYPE1,0.0,0.0
ASTHMA,COPD,HYPERTENSION,0.0,0.0
ASTHMA,COPD,CORONARY_HEART_DISEASE,0.0,0.0
ASTHMA,COPD,MYOCARDIAL_INFARCTION,0.0,0.0
ASTHMA,COPD,TIA,0.0,0.0
ASTHMA,COPD,STROKE,0.0,0.0
ASTHMA,COPD,CKD_STAGE1,0.0,0.0
ASTHMA,COPD,CKD_STAGE3,0.0,0.0
ASTHMA,COPD,DEPRESSION,0.0,8.0
ASTHMA,COPD,SEVERE_MENTAL_ILLNESS,0.0,1.0
ASTHMA,COPD,CANCER,0.02903335918693306,1.0
ASTHMA,COPD,DEMENTIA,0.0,0.0
ASTHMA,COPD,ATRIAL_FIBRILLATION,0.0,0.0
ASTHMA,COPD,PALLIATIVE_CARE,0.0,0.0
ASTHMA,COPD,HEART_FAILURE,0.0,0.0
ASTHMA,DIABETES_TYPE2,ASTHMA,0.0,235.0
ASTHMA,DIABETES_TYPE2,COPD,0.0,0.0
ASTHMA,DIABETES_TYPE2,DIABETES_TYPE2,1.6082876976538614,235.0
ASTHMA,DIABETES_TYPE2,DIABETES_TYPE1,0.0,12.0
ASTHMA,DIABETES_TYPE2,HYPERTENSION,0.0,29.0
ASTHMA,DIABETES_TYPE2,CORONARY_HEART_DISEASE,0.0,0.0
ASTHMA,DIABETES_TYPE2,MYOCARDIAL_INFARCTION,0.0,0.0
ASTHMA,DIABETES_TYPE2,TIA,0.0,0.0
ASTHMA,DIABETES_TYPE2,STROKE,0.0,0.0
ASTHMA,DIABETES_TYPE2,CKD_STAGE1,0.0,1.0
ASTHMA,DIABETES_TYPE2,CKD_STAGE3,0.0,1.0
ASTHMA,DIABETES_TYPE2,DEPRESSION,0.0,51.0
ASTHMA,DIABETES_TYPE2,SEVERE_MENTAL_ILLNESS,0.0,16.0
ASTHMA,DIABETES_TYPE2,CANCER,0.0,0.0
ASTHMA,DIABETES_TYPE2,DEMENTIA,0.0,0.0
ASTHMA,DIABETES_TYPE2,ATRIAL_FIBRILLATION,0.0,0.0
ASTHMA,DIABETES_TYPE2,PALLIATIVE_CARE,0.0,0.0
ASTHMA,DIABETES_TYPE2,HEART_FAILURE,0.0,0.0
ASTHMA,DIABETES_TYPE1,ASTHMA,0.0,114.0
ASTHMA,DIABETES_TYPE1,COPD,0.0,0.0
ASTHMA,DIABETES_TYPE1,DIABETES_TYPE2,0.0,12.0
ASTHMA,DIABETES_TYPE1,DIABETES_TYPE1,1.7902721522313603,114.0
ASTHMA,DIABETES_TYPE1,HYPERTENSION,0.0,6.0
ASTHMA,DIABETES_TYPE1,CORONARY_HEART_DISEASE,0.0,0.0
ASTHMA,DIABETES_TYPE1,MYOCARDIAL_INFARCTION,0.0,0.0
ASTHMA,DIABETES_TYPE1,TIA,0.0,0.0
ASTHMA,DIABETES_TYPE1,STROKE,0.0,0.0
ASTHMA,DIABETES_TYPE1,CKD_STAGE1,0.0,2.0
ASTHMA,DIABETES_TYPE1,CKD_STAGE3,0.0,3.0
