CODE,CODE_DESCRIPTION,VOCABULARY,CODELIST_ID,CODELIST_NAME,CODELIST_VERSION,DEFINITION_ID,DEFINITION_NAME,DEFINITION_VERSION,DEFINITION_SOURCE,VERSION_DATETIME,UPLOADED_DATETIME
38481006,Hypertensive renal disease (disorder),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
83105008,Malignant hypertensive heart disease with congestive heart failure (disorder),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
48146000,Diastolic hypertension (disorder),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
199006004,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium (disorder)",SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
270440008,Hypertension monitoring check done (finding),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
697929007,Intermittent hypertension (disorder),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
185716009,Attends hypertension monitoring (finding),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
66610008,Malignant hypertensive heart AND renal disease (disorder),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
308502002,Hypertension monitoring status (finding),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
308427006,Hypertension screening recall (procedure),SNOMED,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,opensafely/hypertension-snomed,Hypertension (SNOMED),024ab1b0,OPEN_CODELISTS,2020-04-28 00:00:00,2025-06-09 21:57:17.863184
