effect_modifier,modifier_value,ethnic_group,odds_ratio,lower_ci,upper_ci,phenotype
age_band,0_to_17,Black,0.6042526116613484,0.4875367684928295,0.7489101177502888,ASTHMA
age_band,18_to_24,Black,0.6891518147467329,0.5404923575660023,0.8786992399068642,ASTHMA
age_band,25_to_34,Black,0.6372866337345886,0.5105293757955224,0.7955159346196542,ASTHMA
age_band,35_to_44,Black,0.6348583195707189,0.505517898841517,0.7972914249956443,ASTHMA
age_band,55_to_64,Black,1.0885553196760107,0.8570029761945324,1.3826704421222076,ASTHMA
age_band,65_to_74,Black,1.2655444099088002,0.9635299093526559,1.662224117700139,ASTHMA
age_band,75_plus_,Black,1.2894130819721101,0.9437786262370914,1.7616271970362978,ASTHMA
age_band,0_to_17,East_Or_Other_Asian,0.45885025944182617,0.346873555097135,0.6069749552711584,ASTHMA
age_band,18_to_24,East_Or_Other_Asian,0.4901121261003733,0.35933570505045914,0.6684832394178506,ASTHMA
age_band,25_to_34,East_Or_Other_Asian,0.38945241933728286,0.29483053063117554,0.5144419290734907,ASTHMA
age_band,35_to_44,East_Or_Other_Asian,0.45829070518509335,0.34371777512649027,0.6110547247134881,ASTHMA
age_band,55_to_64,East_Or_Other_Asian,0.8271744058032642,0.6081782205413984,1.1250279515219979,ASTHMA
age_band,65_to_74,East_Or_Other_Asian,0.9887731301379501,0.7040684989812547,1.3886039558614445,ASTHMA
age_band,75_plus_,East_Or_Other_Asian,0.9815442181394516,0.6661625602383304,1.4462371644217065,ASTHMA
age_band,0_to_17,South_Asian,0.8536508467579325,0.7031000527742565,1.0364382214098684,ASTHMA
age_band,18_to_24,South_Asian,0.8280900287444719,0.6635360564026975,1.0334526497680654,ASTHMA
age_band,25_to_34,South_Asian,0.5765429506862593,0.47119485583113024,0.7054444034617106,ASTHMA
age_band,35_to_44,South_Asian,0.6975233973308274,0.566819740999576,0.8583661694032341,ASTHMA
age_band,55_to_64,South_Asian,1.3897470768793265,1.1081556776410841,1.7428931481955414,ASTHMA
age_band,65_to_74,South_Asian,1.7113603559110189,1.3237254143723005,2.2125089055366365,ASTHMA
age_band,75_plus_,South_Asian,1.6635914932417253,1.2376404009257107,2.2361395558162247,ASTHMA
age_band,0_to_17,White,0.45603612919079556,0.37593671100997395,0.5532020285239087,ASTHMA
age_band,18_to_24,White,0.5529321535518262,0.4428454125687788,0.6903853077262633,ASTHMA
age_band,25_to_34,White,0.6172758768443714,0.5071743958234055,0.7512790694320839,ASTHMA
age_band,35_to_44,White,0.5563634654092998,0.45423881619459994,0.6814483804696149,ASTHMA
age_band,55_to_64,White,1.087168995742041,0.8727772329455501,1.3542246299365777,ASTHMA
age_band,65_to_74,White,1.2023137738282323,0.9364486955909731,1.5436600184752507,ASTHMA
age_band,75_plus_,White,1.1218911198775374,0.8442289924296819,1.49087474624358,ASTHMA
imd_rank,0.0,Black,1.0037609093742275,0.9355215924216215,1.076977775125151,ASTHMA
imd_rank,0.05263157894736842,Black,0.9895513771736345,0.9133349252459042,1.072127979560834,ASTHMA
imd_rank,0.10526315789473684,Black,0.975542999255375,0.8916744332053773,1.0673000233673553,ASTHMA
