ConditionID,ConditionName,ProductID,PrimaryTerm
5029,Lithium,321729005,Lithium carbonate 200mg m/r tablet
5029,Lithium,321730000,Lithium carbonate 250mg tablets
5029,Lithium,321732008,Lithium carbonate 450mg modified-release tablets
5029,Lithium,321734009,Lithium carbonate 400mg m/r tablet
5029,Lithium,321740002,Lithium citrate 520mg/5ml oral solution sugar free
5029,Lithium,321741003,Lithium citrate 509mg/5ml oral solution
5029,Lithium,321742005,Lithium citrate 1.018g/5ml oral solution
5029,Lithium,2.50211E+14,Camcolit 400 modified-release tablets (Essential Pharma Ltd)
5029,Lithium,5.65011E+14,Priadel 200mg modified-release tablets (Essential Pharma M)
5029,Lithium,7.04311E+14,Liskonum 450mg modified-release tablets (Teofarma S.r.l.)
5029,Lithium,7.66311E+14,Priadel 400mg modified-release tablets (Essential Pharma M)
5029,Lithium,8.79511E+14,Camcolit 250 tablets (Essential Pharma Ltd)
5029,Lithium,3832311000001102,Priadel 520mg/5ml liquid (Essential Pharma M)
5029,Lithium,3833711000001106,Lithium citrate 520mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
5029,Lithium,4543511000001104,Litarex 564mg modified-release tablets (Actavis UK Ltd)
5029,Lithium,4559411000001104,Lithium citrate 564mg modified-release tablets
5029,Lithium,4818611000001104,Lithium carbonate 400mg modified-release tablets (Kent Pharmaceuticals Ltd)
5029,Lithium,4888611000001102,Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd)
5029,Lithium,4986511000001107,Efalith ointment (Scotia Pharmaceuticals Ltd)
5029,Lithium,4999911000001108,Lithium succinate 8% / Zinc sulfate 0.05% ointment
5029,Lithium,5479511000001101,Lithonate 400mg modified-release tablets (Teva UK Ltd)
5029,Lithium,5577011000001106,Priadel 400mg modified-release tablets (Dowelhurst Ltd)
5029,Lithium,8628811000001100,Lithium carbonate 200mg/5ml oral suspension (Special Order)
5029,Lithium,8658611000001103,Lithium carbonate 200mg/5ml oral suspension
5029,Lithium,8788711000001105,Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
5029,Lithium,10065411000001106,Lithium citrate 1.018g/5ml oral solution (Alliance Healthcare (Distribution) Ltd)
5029,Lithium,11922311000001102,Camcolit 250 tablets (Waymade Healthcare Plc)
5029,Lithium,11922511000001108,Camcolit 400 modified-release tablets (Waymade Healthcare Plc)
5029,Lithium,13176801000001103,Lithium carbonate 200mg modified-release tablets
5029,Lithium,13177001000001108,Lithium carbonate 400mg modified-release tablets
5029,Lithium,13947411000001104,Priadel 400mg modified-release tablets (DE Pharmaceuticals)
5029,Lithium,14305911000001102,Camcolit 400 modified-release tablets (Sigma Pharmaceuticals Plc)
5029,Lithium,14728211000001105,Priadel 400mg modified-release tablets (Sigma Pharmaceuticals Plc)
5029,Lithium,17421311000001107,Priadel 400mg modified-release tablets (Mawdsley-Brooks & Company Ltd)
5029,Lithium,17624411000001101,Priadel 400mg modified-release tablets (Necessity Supplies Ltd)
5029,Lithium,21311111000001106,Lithium citrate 509mg/5ml oral solution (Sigma Pharmaceuticals Plc)
5029,Lithium,21311511000001102,Lithium citrate 1.018g/5ml oral solution (Sigma Pharmaceuticals Plc)
5029,Lithium,21717511000001107,Priadel 400mg modified-release tablets (Waymade Healthcare Plc)
5029,Lithium,21885711000001108,Lithium citrate 509mg/5ml oral solution (Cubic Pharmaceuticals Ltd)
5029,Lithium,21885911000001105,Lithium citrate 1.018g/5ml oral solution (Cubic Pharmaceuticals Ltd)
5029,Lithium,22409711000001103,Lithium citrate 509mg/5ml oral solution (DE Pharmaceuticals)
5029,Lithium,24570611000001108,Lithium citrate 509mg/5ml oral solution (Mawdsley-Brooks & Company Ltd)
5029,Lithium,24661711000001107,Lithium chloride 1.5mmol/10ml solution for injection ampoules
5029,Lithium,24661911000001109,Lithium chloride 1.5mmol/10ml solution for injection ampoules (LiDCO Ltd)
5029,Lithium,26852811000001101,Lithium citrate 1.018g/5ml oral solution (Ennogen Healthcare Ltd)
5029,Lithium,26853011000001103,Lithium citrate 520mg/5ml oral solution sugar free (Ennogen Healthcare Ltd)
5029,Lithium,27999911000001102,Lithium carbonate 400mg modified-release tablets (J M McGill Ltd)
